"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈"
"2020100000","2020年度","03207","岩手県 久慈市","","33,043",""
"2020100000","2020年度","03208","岩手県 遠野市","","25,366",""
"2020100000","2020年度","03209","岩手県 一関市","","111,932",""
"2020100000","2020年度","03210","岩手県 陸前高田市","","18,262",""
"2020100000","2020年度","03211","岩手県 釜石市","","32,078",""
"2020100000","2020年度","03213","岩手県 二戸市","","25,513",""
"2020100000","2020年度","03214","岩手県 八幡平市","","24,023",""
"2020100000","2020年度","03215","岩手県 奥州市","","112,937",""
"2020100000","2020年度","03216","岩手県 滝沢市","","55,579",""
"2020100000","2020年度","03301","岩手県 雫石町","","15,731",""
"2020100000","2020年度","03302","岩手県 葛巻町","","5,634",""
"2020100000","2020年度","03303","岩手県 岩手町","","12,285",""
"2020100000","2020年度","03321","岩手県 紫波町","","32,147",""
"2020100000","2020年度","03322","岩手県 矢巾町","","28,056",""
"2020100000","2020年度","03366","岩手県 西和賀町","","5,134",""
"2020100000","2020年度","03381","岩手県 金ケ崎町","","15,535",""
"2020100000","2020年度","03402","岩手県 平泉町","","7,252",""
"2020100000","2020年度","03441","岩手県 住田町","","5,045",""
"2020100000","2020年度","03461","岩手県 大槌町","","11,004",""
"2020100000","2020年度","03482","岩手県 山田町","","14,320",""
"2020100000","2020年度","03483","岩手県 岩泉町","","8,726",""
"2020100000","2020年度","03484","岩手県 田野畑村","","3,059",""
"2020100000","2020年度","03485","岩手県 普代村","","2,487",""
"2020100000","2020年度","03501","岩手県 軽米町","","8,421",""
"2020100000","2020年度","03503","岩手県 野田村","","3,936",""
"2020100000","2020年度","03506","岩手県 九戸村","","5,378",""
"2020100000","2020年度","03507","岩手県 洋野町","","15,091",""
"2020100000","2020年度","03524","岩手県 一戸町","","11,494",""
"2020100000","2020年度","04100","宮城県 仙台市","","1,096,704",""
"2020100000","2020年度","04101","宮城県 仙台市 青葉区","","311,590",""
"2020100000","2020年度","04102","宮城県 仙台市 宮城野区","","196,732",""
"2020100000","2020年度","04103","宮城県 仙台市 若林区","","141,475",""
"2020100000","2020年度","04104","宮城県 仙台市 太白区","","234,758",""
"2020100000","2020年度","04105","宮城県 仙台市 泉区","","212,149",""
"2020100000","2020年度","04202","宮城県 石巻市","","140,151",""
"2020100000","2020年度","04203","宮城県 塩竈市","","52,203",""
"2020100000","2020年度","04205","宮城県 気仙沼市","","61,147",""
